name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Malaysia,2025-02-21,89.8,78.3,81.1,98.6,78.3,84.1,74.5,81.3,0.016,100,8.33,rain,0,0,21.9,7.4,323.5,1011.2,41.2,6,177.1,15.3,6,30,2025-02-21T07:25:50,2025-02-21T19:27:58,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-02-22,92.9,76.8,81.6,102.8,76.8,85.6,74.6,80.8,0.391,100,4.17,rain,0,0,13.9,10.4,285,1011.3,40.6,6.1,231,19.7,9,60,2025-02-22T07:25:38,2025-02-22T19:27:55,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-02-23,91.2,75,81.6,98.9,75,85.4,74.3,80,0.454,100,8.33,rain,0,0,13.4,8.7,272.3,1012.1,42.9,6,237.9,20.5,8,60,2025-02-23T07:25:25,2025-02-23T19:27:52,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-02-24,93,76.9,81.5,103.1,76.9,84.6,74.5,81.1,0.018,100,4.17,rain,0,0,28.9,8.7,177.6,1011.8,42.3,6,225.2,19.4,8,30,2025-02-24T07:25:11,2025-02-24T19:27:48,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-02-25,91.4,75.4,82.9,98.8,75.4,86.5,72.3,72.2,0.96,100,4.17,rain,0,0,34.4,9.1,83.9,1012.6,40.8,6.2,220.2,18.8,8,10,2025-02-25T07:24:57,2025-02-25T19:27:43,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-02-26,91.3,78.6,84.4,100.6,78.6,89.5,72.9,69.3,0.001,100,4.17,rain,0,0,24.2,8.9,59.3,1012,42.1,6.2,168.4,14.5,7,30,2025-02-26T07:24:42,2025-02-26T19:27:38,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-02-27,91.3,75.6,82,100.4,75.6,85.8,73.5,77,0.105,100,8.33,rain,0,0,26.5,9.7,339.5,1011.4,44.8,5.9,220.9,19.2,8,30,2025-02-27T07:24:27,2025-02-27T19:27:33,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-02-28,92.6,76.9,81.7,102.7,76.9,85.1,75,82,1.219,100,8.33,rain,0,0,21.3,11.3,13.1,1010.5,39,6,227.6,19.5,8,30,2025-02-28T07:24:11,2025-02-28T19:27:27,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-01,92.8,77.1,83.6,100.2,77.1,88.4,74.5,76,0.536,100,4.17,rain,0,0,18.8,9.7,320.4,1009.7,38.2,6.2,254.7,22.1,9,10,2025-03-01T07:23:55,2025-03-01T19:27:20,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,WMKK,MYI0000WMSA"
Malaysia,2025-03-02,94.9,76.4,82.8,104.8,76.4,86.6,74.6,78.3,0,0,0,rain,0,0,35.8,15.6,294.8,1008.3,41.4,5.8,270.1,23.3,9,30,2025-03-02T07:23:38,2025-03-02T19:27:13,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
